Current Player,Current Panel,Current Task,Current Left Controller State,Current Right Controller State,Current Time,Current Value,Current Input
3,0,1,not tracked,is tracked,26.76298,0,Right Trigger
3,0,1,not tracked,is tracked,26.76816,0,Right Trigger
3,0,1,not tracked,is tracked,26.77337,0,Right Trigger
3,0,1,not tracked,is tracked,26.77832,0,Right Trigger
3,0,1,not tracked,is tracked,26.78331,0,Right Trigger
3,0,1,not tracked,is tracked,26.78909,0,Right Trigger
3,0,1,not tracked,is tracked,26.79408,0,Right Trigger
3,0,1,not tracked,is tracked,26.79902,0,Right Trigger
3,0,1,not tracked,is tracked,26.804,0,Right Trigger
3,0,1,not tracked,is tracked,26.80933,0,Right Trigger
3,0,1,not tracked,is tracked,26.8144,0,Right Trigger
3,0,1,not tracked,is tracked,26.81934,0,Right Trigger
3,0,1,not tracked,is tracked,26.82415,0,Right Trigger
3,0,1,not tracked,is tracked,26.82989,0,Right Trigger
3,0,1,not tracked,is tracked,26.83538,0,Right Trigger
3,0,1,not tracked,is tracked,26.84053,0,Right Trigger
3,0,1,not tracked,is tracked,26.84599,0,Right Trigger
3,0,1,not tracked,is tracked,26.85141,0,Right Trigger
3,0,1,not tracked,is tracked,26.85627,0,Right Trigger
3,0,1,not tracked,is tracked,26.86128,0,Right Trigger
3,0,1,not tracked,is tracked,26.86668,0,Right Trigger
3,0,1,not tracked,is tracked,26.87192,0,Right Trigger
3,0,1,not tracked,is tracked,26.87696,0,Right Trigger
3,0,1,not tracked,is tracked,26.88206,0,Right Trigger
3,0,1,not tracked,is tracked,26.88754,0,Right Trigger
3,0,1,not tracked,is tracked,26.8925,0,Right Trigger
3,0,1,not tracked,is tracked,26.8982,0,Right Trigger
3,0,1,not tracked,is tracked,26.9033,0,Right Trigger
3,0,1,not tracked,is tracked,26.9095,0,Right Trigger
3,0,1,not tracked,is tracked,26.9147,0,Right Trigger
3,0,1,not tracked,is tracked,26.91973,0,Right Trigger
3,0,1,not tracked,is tracked,26.92462,0,Right Trigger
3,0,1,not tracked,is tracked,26.93022,0,Right Trigger
3,0,1,not tracked,is tracked,26.93516,0,Right Trigger
3,0,1,not tracked,is tracked,26.94007,0,Right Trigger
3,0,1,not tracked,is tracked,26.94489,0,Right Trigger
3,0,1,not tracked,is tracked,26.95065,0,Right Trigger
3,0,1,not tracked,is tracked,26.95605,0,Right Trigger
3,0,1,not tracked,is tracked,26.96143,0,Right Trigger
3,0,1,not tracked,is tracked,26.96725,0,Right Trigger
3,0,1,not tracked,is tracked,26.97318,0,Right Trigger
3,0,1,not tracked,is tracked,26.97873,0,Right Trigger
3,0,1,not tracked,is tracked,26.98416,0,Right Trigger
3,0,1,not tracked,is tracked,26.98972,0,Right Trigger
3,0,1,not tracked,is tracked,26.99504,0,Right Trigger
3,0,1,not tracked,is tracked,27.00084,0,Right Trigger
3,0,1,not tracked,is tracked,27.00641,0,Right Trigger
3,0,1,not tracked,is tracked,27.01212,0,Right Trigger
3,0,1,not tracked,is tracked,27.01783,0,Right Trigger
3,0,1,not tracked,is tracked,27.02373,0,Right Trigger
3,0,1,not tracked,is tracked,27.03011,0,Right Trigger
3,0,1,not tracked,is tracked,27.03565,0,Right Trigger
3,0,1,not tracked,is tracked,27.0406,0,Right Trigger
3,0,1,not tracked,is tracked,27.04572,0,Right Trigger
3,0,1,not tracked,is tracked,27.05096,0,Right Trigger
3,0,1,not tracked,is tracked,27.05634,0,Right Trigger
3,0,1,not tracked,is tracked,27.06205,0,Right Trigger
3,0,1,not tracked,is tracked,27.06749,0,Right Trigger
3,0,1,not tracked,is tracked,27.07257,0,Right Trigger
3,0,1,not tracked,is tracked,27.07769,0,Right Trigger
3,0,1,not tracked,is tracked,27.08289,0,Right Trigger
3,0,1,not tracked,is tracked,27.08845,0,Right Trigger
3,0,1,not tracked,is tracked,27.09367,0,Right Trigger
3,0,1,not tracked,is tracked,27.09872,0,Right Trigger
3,0,1,not tracked,is tracked,27.10353,0,Right Trigger
3,0,1,not tracked,is tracked,27.1092,0,Right Trigger
3,0,1,not tracked,is tracked,27.11425,0,Right Trigger
3,0,1,not tracked,is tracked,27.11923,0,Right Trigger
3,0,1,not tracked,is tracked,27.124,0,Right Trigger
3,0,1,not tracked,is tracked,27.12975,0,Right Trigger
3,0,1,not tracked,is tracked,27.13483,0,Right Trigger
3,0,1,not tracked,is tracked,27.1401,0,Right Trigger
3,0,1,not tracked,is tracked,27.1452,0,Right Trigger
3,0,1,not tracked,is tracked,27.15065,0,Right Trigger
3,0,1,not tracked,is tracked,27.15552,0,Right Trigger
3,0,1,not tracked,is tracked,27.16048,0,Right Trigger
3,0,1,not tracked,is tracked,27.16581,0,Right Trigger
3,0,1,not tracked,is tracked,27.17129,0,Right Trigger
3,0,1,not tracked,is tracked,27.17634,0,Right Trigger
3,0,1,not tracked,is tracked,27.18161,0,Right Trigger
3,0,1,not tracked,is tracked,27.18673,0,Right Trigger
3,0,1,not tracked,is tracked,27.19293,0,Right Trigger
3,0,1,not tracked,is tracked,27.19851,0,Right Trigger
3,0,1,not tracked,is tracked,27.20353,0,Right Trigger
3,0,1,not tracked,is tracked,27.20886,0,Right Trigger
3,0,1,not tracked,is tracked,27.2147,0,Right Trigger
3,0,1,not tracked,is tracked,27.21984,0,Right Trigger
3,0,1,not tracked,is tracked,27.22481,0,Right Trigger
3,0,1,not tracked,is tracked,27.23037,0,Right Trigger
3,0,1,not tracked,is tracked,27.23531,0,Right Trigger
3,0,1,not tracked,is tracked,27.24017,0,Right Trigger
3,0,1,not tracked,is tracked,27.24853,0,Right Trigger
3,0,1,not tracked,is tracked,27.2543,0,Right Trigger
3,0,1,not tracked,is tracked,27.25932,0,Right Trigger
3,0,1,not tracked,is tracked,27.2645,0,Right Trigger
3,0,1,not tracked,is tracked,27.26966,0,Right Trigger
3,0,1,not tracked,is tracked,27.27477,0,Right Trigger
3,0,1,not tracked,is tracked,27.27983,0,Right Trigger
3,0,1,not tracked,is tracked,27.28466,0,Right Trigger
3,0,1,not tracked,is tracked,27.28998,0,Right Trigger
3,0,1,not tracked,is tracked,27.29521,0,Right Trigger
3,0,1,not tracked,is tracked,27.30022,0,Right Trigger
3,0,1,not tracked,is tracked,27.30506,0,Right Trigger
3,0,1,not tracked,is tracked,27.31014,0,Right Trigger
3,0,1,not tracked,is tracked,27.31543,0,Right Trigger
3,0,1,not tracked,is tracked,27.32059,0,Right Trigger
3,0,1,not tracked,is tracked,27.32548,0,Right Trigger
3,0,1,not tracked,is tracked,27.33079,0,Right Trigger
3,0,1,not tracked,is tracked,27.33599,0,Right Trigger
3,0,1,not tracked,is tracked,27.34113,0,Right Trigger
3,0,1,not tracked,is tracked,27.34619,0,Right Trigger
3,0,1,not tracked,is tracked,27.35154,0,Right Trigger
3,0,1,not tracked,is tracked,27.3574,0,Right Trigger
3,0,1,not tracked,is tracked,27.3632,0,Right Trigger
3,0,1,not tracked,is tracked,27.36979,0,Right Trigger
3,0,1,not tracked,is tracked,27.37555,0,Right Trigger
3,0,1,not tracked,is tracked,27.38135,0,Right Trigger
3,0,1,not tracked,is tracked,27.38649,0,Right Trigger
3,0,1,not tracked,is tracked,27.3926,0,Right Trigger
3,0,1,not tracked,is tracked,27.39818,0,Right Trigger
3,0,1,not tracked,is tracked,27.40371,0,Right Trigger
3,0,1,not tracked,is tracked,27.40922,0,Right Trigger
3,0,1,not tracked,is tracked,27.41478,0,Right Trigger
3,0,1,not tracked,is tracked,27.41983,0,Right Trigger
3,0,1,not tracked,is tracked,27.42552,0,Right Trigger
3,0,1,not tracked,is tracked,27.43188,0,Right Trigger
3,0,1,not tracked,is tracked,27.43751,0,Right Trigger
3,0,1,not tracked,is tracked,27.44383,0,Right Trigger
3,0,1,not tracked,is tracked,27.45049,0,Right Trigger
3,0,1,not tracked,is tracked,27.45541,0,Right Trigger
3,0,1,not tracked,is tracked,27.46072,0,Right Trigger
3,0,1,not tracked,is tracked,27.4661,0,Right Trigger
3,0,1,not tracked,is tracked,27.47154,0,Right Trigger
3,0,1,not tracked,is tracked,27.47688,0,Right Trigger
3,0,1,not tracked,is tracked,27.48195,0,Right Trigger
3,0,1,not tracked,is tracked,27.48722,0,Right Trigger
3,0,1,not tracked,is tracked,27.49253,0,Right Trigger
3,0,1,not tracked,is tracked,27.49758,0,Right Trigger
3,0,1,not tracked,is tracked,27.50262,0,Right Trigger
3,0,1,not tracked,is tracked,27.50814,0,Right Trigger
3,0,1,not tracked,is tracked,27.51321,0,Right Trigger
3,0,1,not tracked,is tracked,27.5187,0,Right Trigger
3,0,1,not tracked,is tracked,27.52398,0,Right Trigger
3,0,1,not tracked,is tracked,27.52953,0,Right Trigger
3,0,1,not tracked,is tracked,27.53459,0,Right Trigger
3,0,1,not tracked,is tracked,27.53956,0,Right Trigger
3,0,1,not tracked,is tracked,27.54481,0,Right Trigger
3,0,1,not tracked,is tracked,27.55042,0,Right Trigger
3,0,1,not tracked,is tracked,27.55545,0,Right Trigger
3,0,1,not tracked,is tracked,27.56066,0,Right Trigger
3,0,1,not tracked,is tracked,27.56572,0,Right Trigger
3,0,1,not tracked,is tracked,27.57094,0,Right Trigger
3,0,1,not tracked,is tracked,27.57602,0,Right Trigger
3,0,1,not tracked,is tracked,27.58125,0,Right Trigger
3,0,1,not tracked,is tracked,27.58649,0,Right Trigger
3,0,1,not tracked,is tracked,27.59195,0,Right Trigger
3,0,1,not tracked,is tracked,27.59696,0,Right Trigger
3,0,1,not tracked,is tracked,27.60201,0,Right Trigger
3,0,1,not tracked,is tracked,27.60714,0,Right Trigger
3,0,1,not tracked,is tracked,27.61234,0,Right Trigger
3,0,1,not tracked,is tracked,27.61751,0,Right Trigger
3,0,1,not tracked,is tracked,27.62231,0,Right Trigger
3,0,1,not tracked,is tracked,27.62767,0,Right Trigger
3,0,1,not tracked,is tracked,27.63278,0,Right Trigger
3,0,1,not tracked,is tracked,27.63802,0,Right Trigger
3,0,1,not tracked,is tracked,27.64318,0,Right Trigger
3,0,1,not tracked,is tracked,27.64908,0,Right Trigger
3,0,1,not tracked,is tracked,27.65419,0,Right Trigger
3,0,1,not tracked,is tracked,27.65922,0,Right Trigger
3,0,1,not tracked,is tracked,27.66429,0,Right Trigger
3,0,1,not tracked,is tracked,27.67041,0,Right Trigger
3,0,1,not tracked,is tracked,27.67543,0,Right Trigger
3,0,1,not tracked,is tracked,27.68053,0,Right Trigger
3,0,1,not tracked,is tracked,27.68586,0,Right Trigger
3,0,1,not tracked,is tracked,27.69146,0,Right Trigger
3,0,1,not tracked,is tracked,27.69633,0,Right Trigger
3,0,1,not tracked,is tracked,27.70148,0,Right Trigger
3,0,1,not tracked,is tracked,27.70643,0,Right Trigger
3,0,1,not tracked,is tracked,27.71197,0,Right Trigger
3,0,1,not tracked,is tracked,27.71763,0,Right Trigger
3,0,1,not tracked,is tracked,27.72287,0,Right Trigger
3,0,1,not tracked,is tracked,27.72803,0,Right Trigger
3,0,1,not tracked,is tracked,27.73324,0,Right Trigger
3,0,1,not tracked,is tracked,27.73848,0,Right Trigger
3,0,1,not tracked,is tracked,27.74455,0,Right Trigger
3,0,1,not tracked,is tracked,27.75011,0,Right Trigger
3,0,1,not tracked,is tracked,27.75541,0,Right Trigger
3,0,1,not tracked,is tracked,27.76025,0,Right Trigger
3,0,1,not tracked,is tracked,27.76518,0,Right Trigger
3,0,1,not tracked,is tracked,27.77065,0,Right Trigger
3,0,1,not tracked,is tracked,27.77564,0,Right Trigger
3,0,1,not tracked,is tracked,27.7808,0,Right Trigger
3,0,1,not tracked,is tracked,27.78577,0,Right Trigger
3,0,1,not tracked,is tracked,27.79126,0,Right Trigger
3,0,1,not tracked,is tracked,27.79626,0,Right Trigger
3,0,1,not tracked,is tracked,27.80176,0,Right Trigger
3,0,1,not tracked,is tracked,27.80724,0,Right Trigger
3,0,1,not tracked,is tracked,27.81214,0,Right Trigger
3,0,1,not tracked,is tracked,27.81724,0,Right Trigger
3,0,1,not tracked,is tracked,27.82279,0,Right Trigger
3,0,1,not tracked,is tracked,27.82828,0,Right Trigger
3,0,1,not tracked,is tracked,27.83343,0,Right Trigger
3,0,1,not tracked,is tracked,27.83849,0,Right Trigger
3,0,1,not tracked,is tracked,27.84391,0,Right Trigger
3,0,1,not tracked,is tracked,27.84956,0,Right Trigger
3,0,1,not tracked,is tracked,27.85448,0,Right Trigger
3,0,1,not tracked,is tracked,27.8594,0,Right Trigger
3,0,1,not tracked,is tracked,27.86475,0,Right Trigger
3,0,1,not tracked,is tracked,27.87014,0,Right Trigger
3,0,1,not tracked,is tracked,27.87507,0,Right Trigger
3,0,1,not tracked,is tracked,27.88048,0,Right Trigger
3,0,1,not tracked,is tracked,27.88553,0,Right Trigger
3,0,1,not tracked,is tracked,27.89095,0,Right Trigger
3,0,1,not tracked,is tracked,27.89605,0,Right Trigger
3,0,1,not tracked,is tracked,27.90112,0,Right Trigger
3,0,1,not tracked,is tracked,27.90606,0,Right Trigger
3,0,1,not tracked,is tracked,27.9115,0,Right Trigger
3,0,1,not tracked,is tracked,27.91678,0,Right Trigger
3,0,1,not tracked,is tracked,27.92191,0,Right Trigger
